id,title,tags,contenttype,usedin,featured,url,educationalrole,author,publisher,inlanguage,license,licenseurl
29,clock,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/clock.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
30,cloud,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/cloud.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
31,clove,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/clove.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
32,colour palette,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/colour-palette.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
33,cookies,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/cookies.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
34,crayon,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/crayon.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
35,croissant,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/croissant.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
36,crown,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/crown.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
37,cucumber,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/cucumber.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
38,cup,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/cup.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
39,desk lamp,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/desk-lamp.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
40,division,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/division.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
41,dragonfly,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/dragonfly.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
42,drums,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/drums.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
43,duck,,illustration,,yes,https://images-316715.ew.r.appspot.com/resourses/images/duck.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
44,elf in nature,,illustration,,no,https://images-316715.ew.r.appspot.com/resourses/images/elf-in-nature.png,Early Grades,Ildiko Gaspar,Global Digital Library,en,CC-BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/
